vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Johnny's Seeds,Use Tax,REF-8399,False,Someone painted the barn plaid again.,Tractor repair service,53595,Expense,536.54,2025-07-14 07:03:00,0.0,,4924.85,536.54,Depreciation,6000,dollarsign.circle,📦
Compost Collective,No Tax,REF-4726,False,Billy the Mountain requested cash.,Tractor repair service,97331,Invoice,750.07,2025-07-14 13:31:00,0.0,,2169.05,750.07,Owner's Equity,3000,cart,🐝
Compost Collective,Sales Tax,REF-7854,False,Eggplant royalty dispute resolved.,Tractor repair service,18075,Sale,0.0,2025-07-14 12:12:00,961.12,CHK-7407,3354.61,961.12,Seeds & Amendments,5100,folder,🪣
Tractor Depot,Use Tax,REF-1945,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,63898,Payroll,0.0,2025-07-14 12:46:00,883.82,,2026.72,883.82,Insurance,5900,person.crop.circle,🐔
USDA,Sales Tax,REF-6349,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,60965,Sale,0.0,2025-07-14 10:47:00,375.29,,2842.44,375.29,Owner's Equity,3000,book,🚜
Muffin Utility Inc.,No Tax,REF-8815,False,Billy the Mountain requested cash.,Tractor repair service,18299,Equity Contribution,0.0,2025-07-14 14:30:00,911.06,CHK-2935,1865.31,911.06,Professional Services,5800,doc.plaintext,🛠
Farm Co-op,Use Tax,REF-5365,False,Paid in kale chips and weird looks.,Equity contribution by Frank,37771,Tax,0.0,2025-07-14 13:16:00,627.85,,3710.11,627.85,Marketing & Promotion,5700,briefcase,🛠
Zappa Solar,Use Tax,REF-6044,False,"This ain’t the garden of Eden, man.",Tractor repair service,18151,Equity Contribution,0.0,2025-07-14 16:16:00,60.7,CHK-8010,4155.85,60.7,Accounts Receivable,1100,bag,🧑‍🌾
Compost Collective,Sales Tax,REF-2996,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,20166,Equity Contribution,1010.56,2025-07-14 09:03:00,0.0,,3598.94,1010.56,Repairs & Maintenance,5400,doc.plaintext,🧑‍🌾
Compost Collective,No Tax,REF-1932,False,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,43213,Sale,0.0,2025-07-14 13:42:00,367.67,,4194.18,367.67,Taxes Payable,2200,bag,🐄
Zappa Solar,Sales Tax,REF-8806,True,Billy the Mountain requested cash.,Tractor repair service,53737,Equity Contribution,0.0,2025-07-14 14:24:00,703.53,,2386.92,703.53,Professional Services,5800,tractor,🧑‍🌾
Tractor Depot,Sales Tax,REF-6317,True,Billy the Mountain requested cash.,Payment for organic compost delivery,56110,Sale,373.93,2025-07-14 11:02:00,0.0,CHK-4880,4443.89,373.93,Cost of Goods Sold,5000,tray,🧑‍🌾
Muffin Utility Inc.,Sales Tax,REF-8849,True,Eggplant royalty dispute resolved.,Tractor repair service,49394,Tax,55.62,2025-07-14 09:20:00,0.0,CHK-4096,2154.16,55.62,Depreciation,6000,bag,🥕
Compost Collective,Use Tax,REF-1736,False,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,58824,Expense,0.0,2025-07-14 07:04:00,644.02,,3080.62,644.02,Marketing & Promotion,5700,cart,🐄
USDA,No Tax,REF-6164,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,25768,Invoice,980.66,2025-07-14 07:21:00,0.0,,3422.22,980.66,Payroll Expenses,5500,book,🥕
Farm Co-op,Use Tax,REF-5041,True,Beware of the Central Scrutinizer.,Tractor repair service,48756,Tax,664.74,2025-07-14 11:15:00,0.0,CHK-9318,4458.57,664.74,Utilities,5600,hammer,🔧
Johnny's Seeds,No Tax,REF-7017,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,35151,Expense,0.0,2025-07-14 07:59:00,1091.47,CHK-2243,4121.78,1091.47,Depreciation,6000,doc.plaintext,📦
Johnny's Seeds,Use Tax,REF-6418,False,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,56545,Equity Contribution,0.0,2025-07-14 15:39:00,501.75,,3068.5,501.75,Accounts Receivable,1100,hammer,🍅
USDA,Sales Tax,REF-9077,False,Paid in kale chips and weird looks.,Payment for organic compost delivery,88985,Expense,0.0,2025-07-14 14:11:00,478.14,CHK-9566,3079.12,478.14,Fertilizer & Compost,5200,folder,🧾
Tractor Depot,No Tax,REF-6774,True,Paid in kale chips and weird looks.,Weekly payroll distribution,71365,Equity Contribution,490.98,2025-07-14 07:45:00,0.0,CHK-6238,2190.77,490.98,Taxes Payable,2200,book,🐝
Compost Collective,Sales Tax,REF-6340,False,Billy the Mountain requested cash.,Weekly payroll distribution,34753,Tax,99.59,2025-07-14 07:10:00,0.0,CHK-1424,1619.07,99.59,Depreciation,6000,doc.plaintext,🐔
Zappa Solar,No Tax,REF-5825,False,Mic’d the compost for microbial jazz.,Equity contribution by Frank,57348,Expense,0.0,2025-07-14 16:32:00,367.64,,2744.27,367.64,Taxes Payable,2200,folder,🧑‍🌾
Muffin Utility Inc.,No Tax,REF-4879,True,Paid in kale chips and weird looks.,Equity contribution by Frank,75930,Expense,1102.12,2025-07-14 09:00:00,0.0,,2632.88,1102.12,Owner's Equity,3000,tractor,🐄
Tractor Depot,No Tax,REF-2100,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,83959,Tax,672.51,2025-07-14 18:33:00,0.0,CHK-5802,1924.75,672.51,Accounts Receivable,1100,hammer,🐄
Tractor Depot,No Tax,REF-2940,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,20903,Tax,353.35,2025-07-14 14:22:00,0.0,,1671.33,353.35,Accounts Payable,2000,hammer,🚜
USDA,Use Tax,REF-2931,False,Someone painted the barn plaid again.,Equity contribution by Frank,26483,Payment,332.38,2025-07-14 10:48:00,0.0,,1535.64,332.38,Repairs & Maintenance,5400,plusminus,🧺
Zappa Solar,Use Tax,REF-8334,True,Paid in kale chips and weird looks.,Equity contribution by Frank,37634,Sale,0.0,2025-07-14 08:04:00,171.26,,3875.73,171.26,Insurance,5900,tractor,🧾
Tractor Depot,Sales Tax,REF-9759,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,49267,Payroll,0.0,2025-07-14 07:12:00,747.23,CHK-4854,3145.02,747.23,Accounts Payable,2000,dollarsign.circle,🐄
Compost Collective,Sales Tax,REF-3883,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,64305,Invoice,0.0,2025-07-14 09:51:00,1159.36,,3571.47,1159.36,Accounts Receivable,1100,book,🧾
Zappa Solar,No Tax,REF-2543,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,26568,Invoice,767.06,2025-07-14 17:20:00,0.0,CHK-1866,2216.35,767.06,Depreciation,6000,plusminus,🧾
Muffin Utility Inc.,No Tax,REF-1306,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,47547,Sale,613.61,2025-07-14 18:53:00,0.0,,2002.7,613.61,Accounts Receivable,1100,cart,💸
Compost Collective,Sales Tax,REF-3300,False,Mic’d the compost for microbial jazz.,Tractor repair service,28729,Equity Contribution,70.49,2025-07-14 09:14:00,0.0,,3233.0,70.49,Cost of Goods Sold,5000,book,🚜
Johnny's Seeds,Use Tax,REF-8589,True,Eggplant royalty dispute resolved.,Payment for organic compost delivery,92121,Expense,387.62,2025-07-14 11:39:00,0.0,,2568.36,387.62,Taxes Payable,2200,creditcard,🧺
USDA,Use Tax,REF-9881,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,26593,Payment,0.0,2025-07-14 10:45:00,201.7,CHK-1003,2836.85,201.7,Seeds & Amendments,5100,briefcase,🐔
Tractor Depot,No Tax,REF-5066,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,53707,Invoice,0.0,2025-07-14 08:51:00,44.68,CHK-3083,2784.1,44.68,Accounts Payable,2000,plusminus,🧺
Zappa Solar,Sales Tax,REF-9378,False,Eggplant royalty dispute resolved.,Sale at Saturday farmer's market,58906,Payment,0.0,2025-07-14 18:43:00,811.14,,3752.92,811.14,Repairs & Maintenance,5400,leaf,🪣
Farm Co-op,Use Tax,REF-3816,True,Beware of the Central Scrutinizer.,Tractor repair service,25884,Payment,285.4,2025-07-14 11:01:00,0.0,CHK-8141,1086.5,285.4,Professional Services,5800,plusminus,📊
Compost Collective,Sales Tax,REF-7925,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,46683,Equity Contribution,497.81,2025-07-14 10:04:00,0.0,,3653.06,497.81,Accounts Payable,2000,person.crop.circle,🧺
Compost Collective,Sales Tax,REF-2425,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,69377,Sale,252.36,2025-07-15 14:25:00,0.0,CHK-4575,4989.27,252.36,Accounts Receivable,1100,plusminus,🚜
USDA,Sales Tax,REF-4682,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,77742,Sale,0.0,2025-07-15 12:39:00,1089.98,CHK-4472,2650.01,1089.98,Owner's Equity,3000,book,🥕
Muffin Utility Inc.,No Tax,REF-2417,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,18925,Payment,0.0,2025-07-15 12:48:00,666.43,,3925.93,666.43,Fuel,5300,externaldrive,🔧
Muffin Utility Inc.,Sales Tax,REF-1167,False,Beware of the Central Scrutinizer.,Payment for organic compost delivery,93655,Tax,0.0,2025-07-15 07:28:00,1116.0,,3288.65,1116.0,Payroll Expenses,5500,cart,💸
USDA,Sales Tax,REF-7903,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,63888,Sale,917.22,2025-07-15 08:33:00,0.0,CHK-7508,4330.15,917.22,Payroll Expenses,5500,globe,🐄
Zappa Solar,No Tax,REF-5408,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,68892,Payroll,0.0,2025-07-15 16:13:00,513.27,,2045.94,513.27,Repairs & Maintenance,5400,book,🔧
Tractor Depot,No Tax,REF-3370,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,93647,Expense,119.94,2025-07-15 18:02:00,0.0,CHK-9111,3312.98,119.94,Repairs & Maintenance,5400,gear,🚜
Muffin Utility Inc.,No Tax,REF-5291,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,79026,Payment,1168.69,2025-07-15 14:27:00,0.0,,2577.66,1168.69,Prepaid Expenses,1300,tractor,📦
Compost Collective,Sales Tax,REF-7854,True,Someone painted the barn plaid again.,Utility payment: irrigation pump,66547,Payroll,0.0,2025-07-15 13:07:00,111.91,CHK-7042,2711.06,111.91,Cash,1000,calendar,🔧
Compost Collective,Sales Tax,REF-1112,True,Paid in kale chips and weird looks.,Utility payment: irrigation pump,21664,Equity Contribution,0.0,2025-07-15 12:34:00,989.6,,2733.27,989.6,Repairs & Maintenance,5400,hammer,🐔
Farm Co-op,Use Tax,REF-7071,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,91454,Expense,573.94,2025-07-15 17:02:00,0.0,,2846.1,573.94,Taxes Payable,2200,person.crop.circle,🧾
Johnny's Seeds,Sales Tax,REF-5691,True,Beware of the Central Scrutinizer.,Weekly payroll distribution,95482,Expense,0.0,2025-07-15 09:53:00,1178.63,CHK-6865,1606.66,1178.63,Seeds & Amendments,5100,bag,🚜
USDA,No Tax,REF-3566,False,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,80148,Sale,0.0,2025-07-15 11:36:00,213.35,,2809.55,213.35,Sales - Value-Added Goods,4100,cart,🧺
USDA,No Tax,REF-6412,False,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,11034,Sale,0.0,2025-07-15 17:00:00,1059.67,,1213.88,1059.67,Insurance,5900,doc.plaintext,📦
Zappa Solar,Sales Tax,REF-1921,True,Paid in kale chips and weird looks.,Tractor repair service,53082,Invoice,1162.49,2025-07-15 13:42:00,0.0,CHK-5167,1307.91,1162.49,Payroll Expenses,5500,leaf,🍅
Compost Collective,No Tax,REF-6105,False,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,42540,Payroll,97.32,2025-07-15 09:22:00,0.0,CHK-1879,1131.4,97.32,Payroll Expenses,5500,tray,📅
Johnny's Seeds,Use Tax,REF-2949,True,Billy the Mountain requested cash.,Equity contribution by Frank,54637,Equity Contribution,0.0,2025-07-15 15:44:00,1067.08,,3395.35,1067.08,Payroll Expenses,5500,briefcase,💼
Compost Collective,Sales Tax,REF-8050,False,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,41728,Tax,572.27,2025-07-15 12:29:00,0.0,CHK-8696,1782.21,572.27,Marketing & Promotion,5700,bag,🪣
Farm Co-op,Use Tax,REF-7098,False,Mic’d the compost for microbial jazz.,Tractor repair service,52608,Invoice,0.0,2025-07-15 15:40:00,864.78,,2621.53,864.78,Fertilizer & Compost,5200,gear,🧺
Compost Collective,No Tax,REF-9329,False,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,35219,Payment,301.79,2025-07-15 12:46:00,0.0,,2547.94,301.79,Sales - Produce,4000,folder,🐄
Muffin Utility Inc.,Use Tax,REF-9657,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,55134,Payment,600.58,2025-07-15 13:28:00,0.0,CHK-2608,4830.65,600.58,Repairs & Maintenance,5400,book,🔧
Johnny's Seeds,Use Tax,REF-9067,False,Billy the Mountain requested cash.,Weekly payroll distribution,40483,Invoice,0.0,2025-07-15 11:08:00,1136.04,CHK-1509,4412.47,1136.04,Prepaid Expenses,1300,creditcard,💸
Johnny's Seeds,No Tax,REF-6563,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,75266,Expense,843.97,2025-07-15 10:42:00,0.0,CHK-6724,1415.97,843.97,Accounts Payable,2000,gear,📦
Tractor Depot,No Tax,REF-2632,False,Mic’d the compost for microbial jazz.,Equity contribution by Frank,48727,Sale,1058.75,2025-07-15 16:45:00,0.0,CHK-7710,2169.32,1058.75,Marketing & Promotion,5700,briefcase,🐔
Zappa Solar,Use Tax,REF-6417,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,33592,Expense,0.0,2025-07-15 10:38:00,369.5,CHK-5486,2865.32,369.5,Seeds & Amendments,5100,calendar,🪣
Compost Collective,Use Tax,REF-5033,True,Beware of the Central Scrutinizer.,Purchase of heirloom tomato seeds,24576,Expense,0.0,2025-07-15 10:32:00,637.15,CHK-1723,2058.17,637.15,Taxes Payable,2200,hammer,🐝
Farm Co-op,Use Tax,REF-1439,True,Beware of the Central Scrutinizer.,Payment for organic compost delivery,15782,Equity Contribution,0.0,2025-07-15 13:02:00,382.99,,3529.08,382.99,Inventory,1200,cart,📊
Compost Collective,Sales Tax,REF-6464,False,Mic’d the compost for microbial jazz.,Equity contribution by Frank,21358,Sale,1128.29,2025-07-15 14:55:00,0.0,CHK-2136,3359.76,1128.29,Accounts Payable,2000,globe,🚜
USDA,Sales Tax,REF-3857,True,Eggplant royalty dispute resolved.,Utility payment: irrigation pump,34171,Invoice,421.41,2025-07-15 17:52:00,0.0,,2094.03,421.41,Sales - Value-Added Goods,4100,creditcard,🔧
Farm Co-op,No Tax,REF-5031,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,18509,Payroll,821.51,2025-07-15 13:35:00,0.0,CHK-3908,2161.57,821.51,Seeds & Amendments,5100,wrench,💼
Compost Collective,Use Tax,REF-1666,True,Beware of the Central Scrutinizer.,Equity contribution by Frank,20617,Tax,970.99,2025-07-15 13:56:00,0.0,CHK-3472,2104.25,970.99,Sales - Produce,4000,briefcase,🧾
Farm Co-op,Use Tax,REF-6974,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,26126,Payroll,0.0,2025-07-15 12:04:00,526.34,CHK-8849,2350.42,526.34,Depreciation,6000,bag,🌱
Zappa Solar,Sales Tax,REF-9661,True,Mic’d the compost for microbial jazz.,Weekly payroll distribution,25727,Payment,0.0,2025-07-15 17:00:00,894.9,,1193.86,894.9,Sales - Value-Added Goods,4100,folder,🚜
Muffin Utility Inc.,Use Tax,REF-6682,True,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,33712,Expense,430.72,2025-07-15 12:58:00,0.0,CHK-4089,1022.8,430.72,Payroll Expenses,5500,creditcard,🍅
Muffin Utility Inc.,Sales Tax,REF-9859,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,94685,Expense,281.04,2025-07-15 07:50:00,0.0,CHK-2732,4515.33,281.04,Taxes Payable,2200,bag,🌱
Compost Collective,Sales Tax,REF-7663,False,Eggplant royalty dispute resolved.,Equity contribution by Frank,96142,Equity Contribution,831.65,2025-07-15 07:33:00,0.0,CHK-1745,1336.1,831.65,Payroll Expenses,5500,doc.plaintext,🌱
Zappa Solar,Sales Tax,REF-6616,False,Paid in kale chips and weird looks.,Equity contribution by Frank,73151,Sale,0.0,2025-07-15 11:06:00,971.4,CHK-6669,2898.65,971.4,Cash,1000,cart,🧾
USDA,Sales Tax,REF-6109,True,Eggplant royalty dispute resolved.,Weekly payroll distribution,41136,Tax,1046.94,2025-07-15 14:25:00,0.0,,1341.62,1046.94,Prepaid Expenses,1300,gear,🔧
Tractor Depot,Use Tax,REF-4473,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,14628,Payment,0.0,2025-07-15 18:24:00,372.67,,4383.82,372.67,Sales - Produce,4000,cart,🍅
Compost Collective,Sales Tax,REF-5946,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,70805,Expense,825.28,2025-07-15 16:05:00,0.0,,2770.64,825.28,Utilities,5600,book,🥕
Johnny's Seeds,Sales Tax,REF-9505,True,Beware of the Central Scrutinizer.,Tractor repair service,43628,Invoice,0.0,2025-07-15 15:21:00,64.07,,3240.06,64.07,Professional Services,5800,tractor,📅
USDA,Use Tax,REF-2716,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,68722,Tax,521.72,2025-07-15 13:38:00,0.0,,4899.09,521.72,Payroll Expenses,5500,briefcase,🛠
Zappa Solar,Use Tax,REF-5151,True,Paid in kale chips and weird looks.,Weekly payroll distribution,51911,Expense,0.0,2025-07-15 16:14:00,775.13,CHK-5578,1965.3,775.13,Cash,1000,globe,🛠
Compost Collective,Use Tax,REF-3614,True,Someone painted the barn plaid again.,Equity contribution by Frank,89325,Equity Contribution,0.0,2025-07-15 10:44:00,952.88,CHK-9433,2764.74,952.88,Owner's Equity,3000,bag,📅
Muffin Utility Inc.,No Tax,REF-3379,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,44124,Expense,480.32,2025-07-15 07:14:00,0.0,CHK-4675,4002.52,480.32,Seeds & Amendments,5100,hammer,🐝
Johnny's Seeds,No Tax,REF-1247,True,Paid in kale chips and weird looks.,Weekly payroll distribution,85878,Payroll,257.29,2025-07-15 18:04:00,0.0,,4874.42,257.29,Seeds & Amendments,5100,wrench,🔧
Farm Co-op,Use Tax,REF-6753,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,55768,Payroll,0.0,2025-07-15 18:53:00,69.26,CHK-8203,3687.55,69.26,Cash,1000,hammer,📦
USDA,Use Tax,REF-8049,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,95775,Invoice,883.92,2025-07-15 18:27:00,0.0,CHK-9874,4599.49,883.92,Accounts Payable,2000,externaldrive,🏡
Zappa Solar,No Tax,REF-9109,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,35057,Invoice,819.69,2025-07-15 18:13:00,0.0,CHK-1102,3451.3,819.69,Payroll Expenses,5500,creditcard,🛠
USDA,Sales Tax,REF-4028,False,Billy the Mountain requested cash.,Utility payment: irrigation pump,79079,Expense,0.0,2025-07-16 17:45:00,152.07,,3537.79,152.07,Wages Payable,2100,calendar,📊
Tractor Depot,Use Tax,REF-5724,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,29495,Sale,638.84,2025-07-16 07:10:00,0.0,CHK-6058,2690.29,638.84,Depreciation,6000,person.crop.circle,📦
Johnny's Seeds,Sales Tax,REF-5489,False,Someone painted the barn plaid again.,Tractor repair service,20131,Sale,0.0,2025-07-16 10:09:00,1026.84,,3232.77,1026.84,Owner's Equity,3000,creditcard,🍅
Farm Co-op,Use Tax,REF-3114,False,Beware of the Central Scrutinizer.,Payment for organic compost delivery,46001,Payroll,949.47,2025-07-16 16:25:00,0.0,,4534.08,949.47,Insurance,5900,leaf,🏡
Zappa Solar,No Tax,REF-3071,True,Billy the Mountain requested cash.,Utility payment: irrigation pump,98150,Payroll,0.0,2025-07-16 11:58:00,809.01,CHK-3475,1623.83,809.01,Depreciation,6000,creditcard,📊
Johnny's Seeds,Sales Tax,REF-7202,True,Billy the Mountain requested cash.,Sale at Saturday farmer's market,29191,Payment,339.3,2025-07-16 09:32:00,0.0,,1112.1,339.3,Cost of Goods Sold,5000,tractor,🛠
Johnny's Seeds,No Tax,REF-7357,True,"This ain’t the garden of Eden, man.",Purchase of heirloom tomato seeds,45987,Invoice,0.0,2025-07-16 18:25:00,700.76,,3865.29,700.76,Fuel,5300,bag,🧑‍🌾
Tractor Depot,Use Tax,REF-7623,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,64028,Invoice,635.48,2025-07-16 10:11:00,0.0,CHK-1023,2267.9,635.48,Fuel,5300,creditcard,🔧
Farm Co-op,Sales Tax,REF-4653,False,Billy the Mountain requested cash.,Purchase of heirloom tomato seeds,57611,Payment,689.21,2025-07-16 17:59:00,0.0,,2816.23,689.21,Sales - Produce,4000,briefcase,🛠
Johnny's Seeds,No Tax,REF-7745,True,Eggplant royalty dispute resolved.,Equity contribution by Frank,74077,Payment,0.0,2025-07-16 12:13:00,775.37,CHK-8554,3898.0,775.37,Prepaid Expenses,1300,globe,🧺
Zappa Solar,No Tax,REF-3762,False,Someone painted the barn plaid again.,Utility payment: irrigation pump,36200,Sale,459.89,2025-07-16 15:57:00,0.0,CHK-6393,3410.73,459.89,Cash,1000,tractor,🐄
Muffin Utility Inc.,Use Tax,REF-4398,False,"This ain’t the garden of Eden, man.",Equity contribution by Frank,37603,Equity Contribution,1104.17,2025-07-16 15:38:00,0.0,,3988.6,1104.17,Utilities,5600,person.crop.circle,🥕
Zappa Solar,No Tax,REF-8558,False,Beware of the Central Scrutinizer.,Equity contribution by Frank,24037,Sale,0.0,2025-07-16 16:56:00,791.8,CHK-3135,1091.86,791.8,Fuel,5300,cart,🧾
Tractor Depot,No Tax,REF-8679,False,Someone painted the barn plaid again.,Weekly payroll distribution,94554,Expense,0.0,2025-07-16 08:45:00,545.08,CHK-8311,1581.94,545.08,Fertilizer & Compost,5200,briefcase,🛠
Farm Co-op,Use Tax,REF-6338,True,Mic’d the compost for microbial jazz.,Payment for organic compost delivery,84683,Sale,1102.5,2025-07-16 18:25:00,0.0,,1263.23,1102.5,Seeds & Amendments,5100,book,🪣
USDA,No Tax,REF-9678,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,13293,Sale,618.9,2025-07-16 13:33:00,0.0,CHK-6265,2675.6,618.9,Prepaid Expenses,1300,hammer,🌽
Zappa Solar,No Tax,REF-8291,False,Billy the Mountain requested cash.,Sale at Saturday farmer's market,27958,Payment,583.76,2025-07-16 12:51:00,0.0,,4260.76,583.76,Taxes Payable,2200,creditcard,🐝
USDA,No Tax,REF-5157,False,Someone painted the barn plaid again.,Weekly payroll distribution,59796,Tax,600.86,2025-07-16 10:49:00,0.0,CHK-1127,2629.46,600.86,Taxes Payable,2200,dollarsign.circle,🌽
Muffin Utility Inc.,Sales Tax,REF-4897,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,49973,Expense,119.14,2025-07-16 15:31:00,0.0,,3810.94,119.14,Inventory,1200,dollarsign.circle,🏡
USDA,Sales Tax,REF-9713,False,"This ain’t the garden of Eden, man.",Sale at Saturday farmer's market,24109,Payroll,0.0,2025-07-16 17:14:00,1067.4,,3003.92,1067.4,Payroll Expenses,5500,externaldrive,🧾
USDA,No Tax,REF-1796,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,45600,Payroll,0.0,2025-07-16 14:59:00,395.86,,2304.29,395.86,Owner's Equity,3000,gear,🥕
USDA,Use Tax,REF-1181,False,Someone painted the barn plaid again.,Sale at Saturday farmer's market,79473,Payroll,925.65,2025-07-16 10:47:00,0.0,CHK-7256,4046.77,925.65,Accounts Payable,2000,globe,📊
